GL계정,계정명,전기일,코스트센터,코스트센터명,내역1,거래처,형태,형태명,역무2,서비스명,금액의합계
460200,기본료-MVNO,20250215,10460,도매사업팀,2월 MVNO 도매대가,다라텔레콤(주),FT7000,도매제공수익,T915,5G패킷공통,"-15,900,000,000"
460200,기본료-MVNO,20250315,10460,도매사업팀,3월 MVNO 도매대가,다라텔레콤(주),FT7000,도매제공수익,T915,5G패킷공통,"-16,350,000,000"
402220,폰메일,20250115,10402,요금정산팀,1월 SMS 발신 종량과금,,FT1223,종량_SMS/MMS,T004,LTE,"-329,600,000"
402220,폰메일,20250215,10402,요금정산팀,2월 SMS 발신 종량과금,,FT1223,종량_SMS/MMS,T004,LTE,"-339,200,000"
402220,폰메일,20250315,10402,요금정산팀,3월 SMS 발신 종량과금,,FT1223,종량_SMS/MMS,T004,LTE,"-348,800,000"
460200,기본료-MVNO,20250115,10460,도매사업팀,1월 MVNO LTE 도매대가,다라텔레콤(주),FT7000,도매제공수익,T004,LTE,"-8,240,000,000"
460200,기본료-MVNO,20250215,10460,도매사업팀,2월 MVNO LTE 도매대가,다라텔레콤(주),FT7000,도매제공수익,T004,LTE,"-8,480,000,000"
460200,기본료-MVNO,20250315,10460,도매사업팀,3월 MVNO LTE 도매대가,다라텔레콤(주),FT7000,도매제공수익,T004,LTE,"-8,720,000,000"
499100,솔루션판매,20250115,10499,기업사업팀,1월 기업용 솔루션 납품,마바시스템(주),FT8000,기타영업수익,T501,비전기,"-463,500,000"
499100,솔루션판매,20250215,10499,기업사업팀,2월 기업용 솔루션 납품,마바시스템(주),FT8000,기타영업수익,T501,비전기,"-477,000,000"
499100,솔루션판매,20250315,10499,기업사업팀,3월 기업용 솔루션 납품,마바시스템(주),FT8000,기타영업수익,T501,비전기,"-490,500,000"
499200,연체료수익,20250115,10499,채권관리팀,1월 요금 연체가산금,,FT8000,기타영업수익,T004,LTE,"-97,850,000"
499200,연체료수익,20250215,10499,채권관리팀,2월 요금 연체가산금,,FT8000,기타영업수익,T004,LTE,"-100,700,000"
499200,연체료수익,20250315,10499,채권관리팀,3월 요금 연체가산금,,FT8000,기타영업수익,T004,LTE,"-103,550,000"
499200,연체료수익,20250115,10499,채권관리팀,1월 연체가산금 5G분,,FT1310,정액요금수익,T005,5G,"-12,360,000"
499200,연체료수익,20250215,10499,채권관리팀,2월 연체가산금 5G분,,FT1310,정액요금수익,T005,5G,"-12,720,000"
499200,연체료수익,20250315,10499,채권관리팀,3월 연체가산금 5G분,,FT1310,정액요금수익,T005,5G,"-13,080,000"
400300,로밍수익,20250115,10400,로밍사업팀,1월 아웃바운드 로밍 일정액,,FT1310,정액요금수익,T005,5G,"-216,300,000"
400300,로밍수익,20250215,10400,로밍사업팀,2월 아웃바운드 로밍 일정액,,FT1310,정액요금수익,T005,5G,"-222,600,000"
400300,로밍수익,20250315,10400,로밍사업팀,3월 아웃바운드 로밍 일정액,,FT1310,정액요금수익,T005,5G,"-228,900,000"
411400,이동망접속수익,20250115,10411,접속정산팀,1월 착신 접속료 정산,사아네트웍스(주),FT2020,접속통화료,T004,LTE,"-1,133,000,000"
411400,이동망접속수익,20250215,10411,접속정산팀,2월 착신 접속료 정산,사아네트웍스(주),FT2020,접속통화료,T004,LTE,"-1,166,000,000"
411400,이동망접속수익,20250315,10411,접속정산팀,3월 착신 접속료 정산,사아네트웍스(주),FT2020,접속통화료,T004,LTE,"-1,199,000,000"
400400,해지위약금수익,20250115,10400,채권관리팀,1월 요금할인 해지위약금,,FT1310,정액요금수익,T004,LTE,"-56,650,000"
400400,해지위약금수익,20250215,10400,채권관리팀,2월 요금할인 해지위약금,,FT1310,정액요금수익,T004,LTE,"-58,300,000"
400400,해지위약금수익,20250315,10400,채권관리팀,3월 요금할인 해지위약금,,FT1310,정액요금수익,T004,LTE,"-59,950,000"
403100,인터넷수익,20250115,10403,유선사업팀,1월 초고속인터넷 정액 이용료,,FT1310,정액요금수익,T004,LTE,"-751,900,000"
403100,인터넷수익,20250215,10403,유선사업팀,2월 초고속인터넷 정액 이용료,,FT1310,정액요금수익,T004,LTE,"-773,800,000"
403100,인터넷수익,20250315,10403,유선사업팀,3월 초고속인터넷 정액 이용료,,FT1310,정액요금수익,T004,LTE,"-795,700,000"
